2025/04/08 9:28:31 PM EST,41 - 45,School-age children,3,Overwhelm or burnout;Anxiety or racing thoughts;Loss of identity,Not enough time,Virtual sessions,Just to feel better ,Tired and unfulfilled ,Easy to talk to,Flexible scheduling or online options,TikTok,Google / search engine;Asking a friend or another mom
2025/04/08 9:37:47 PM EST,46+,School-age children,1,Overwhelm or burnout;Trouble sleeping,Not sure where to find someone I trust,Therapy is doable as long as I can find someone who I can trust. Someone who is passionate about their work (not just there to collect pay check) This enery shows. :),Help me identify the root causes of the problem,overwhelmed... sometimes need to stop and catch my breath,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to;Understand subconcious mind",Being able to browse their social media to get a feel for their style/personality,Google / search engines,Asking a friend or another mom;Local Facebook groups or mom groups
2025/04/08 10:15:44 PM EST,41 - 45,School-age children,2,Mom guilt or perfectionism;Health and mental health worries for my children,"Therapy feels too expensive;Scheduling, time, cost",Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom;Resources between sessions,"Action items, accountability, honest feedback",Unknown,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Flexible scheduling or online options;Testimonials or client stories;Ease of booking a consultation;Seeing that the therapist is also a mom;Being able to browse their social media to get a feel for their style/personality,Podcasts;Blogs or newsletters;Friends or other moms;Therapy or support groups;Books,Google / search engine;Psychology Today or other directories;Asking a friend or another mom;Local Facebook groups or mom groups;Insurance provider list
2025/04/08 10:26:18 PM EST,36 - 40,Toddler years (1-3 years);School-age children,2,Overwhelm or burnout;Relationship/partner stress;Overstimulation ,Therapy feels too expensive,More $$ to spend on it!,Probably help with overthinking and negative self talk,Scattered,"Warm, non-judgmental energy;Understands high-functioning anxiety",Photos or videos that feel genuine;I really go 90% off referrals + ensuring their bio speaks to me,Instagram;My OB/GYN or pediatrician,Psychology Today or other directories;Asking a friend or another mom;Insurance provider list
2025/04/09 12:41:48 AM EST,31 - 35,Toddler years (1-3 years);School-age children,2,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism;Relationship/partner stress,Not enough time;Not sure where to find someone I trust;Therapy feels too expensive;I feel like I should be able to handle this,Virtual sessions;A therapist who's also a mom;Finding someone that I can connect with who also takes insurance,"Accountability, new way to look at things, support, validation",Foggy,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Credentials or specialization in perinatal mental health;Flexible scheduling or online options;Ease of booking a consultation;Seeing that the therapist is also a mom,Google / search engines;Friends or other moms,Google / search engine;Psychology Today or other directories;Insurance provider list
2025/04/09 5:54:16 AM EST,46+,School-age children,2,Overwhelm or burnout;Relationship/partner stress;Loss of identity;Trouble sleeping,I’ve participated in therapy off and on but not currently in therapy. Have considered returning recently. ,Virtual sessions;In-Person sessons;A therapist who's also a mom,Ways to cope in each new season.  I feel like old ‘resolved’ stuff re-emerges with each new season. ,Burned out,"Warm, non-judgmental energy;Offers practical tools;Easy to talk to;Perimenopause/menopause experience while also knee deep in child rearing. ",Flexible scheduling or online options;Ease of booking a consultation,Instagram;Podcasts;Blogs or newsletters;Friends or other moms;Books,Google / search engine;Psychology Today or other directories;Asking a friend or another mom
2025/04/09 6:18:12 AM EST,36 - 40,Toddler years (1-3 years);School-age children,2,"I don’t feel I’m struggling with any of these overall, but on any given day I struggle with these.","Not enough time;Lack of partner support;Not sure where to find someone I trust;Therapy feels too expensive;I’ve gone to see a therapist, and didn’t like her / didn’t find her helpful. I don’t know how to find someone “good”.",Virtual sessions;A therapist who's also a mom;Group sessions as part of it.,Solutions on dealing with relational issues,Confident,Offers practical tools;Has a clearly defined pathway to help people find peace and fulfillment in life.,"I don’t find the website helpful for me to determine if a therapist is “good”. It’s just like picking a Dr, you have no idea until you go.",Google / search engines;Books,"Google / search engine;I don't know where I would start;I looked extensively to find a therapist last time, and she wasn’t a good fit for me. So I do not know how to do it! "
2025/04/09 8:28:38 AM EST,31 - 35,4-12 months postpartum,1,Overwhelm or burnout;Loss of identity,Not sure where to find someone I trust;I'm already in therapy,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends),To feel more equipped for life’s stresses and feel less stressed. ,Rundown,"Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Credentials or specialization in perinatal mental health;Flexible scheduling or online options;Being able to browse their social media to get a feel for their style/personality,Podcasts;Blogs or newsletters;Therapy or support groups;Books,Google / search engine;Psychology Today or other directories;Asking a friend or another mom;Local Facebook groups or mom groups
2025/04/09 8:29:56 AM EST,31 - 35,Pregnant;School-age children,2,Anxiety or racing thoughts;Trouble sleeping,Not enough time;Therapy feels too expensive,Flexible scheduling (evenings/lunchtimes/weekends),More tools to help with the daily stressors ,Overwhelmed ,"Warm, non-judgmental energy;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Flexible scheduling or online options;Ease of booking a consultation;Seeing that the therapist is also a mom,Podcasts;Google / search engines;Friends or other moms,Asking a friend or another mom;Local Facebook groups or mom groups
2025/04/09 8:33:42 AM EST,36 - 40,School-age children,2,Overwhelm or burnout;Anxiety or racing thoughts;Relationship/partner stress;Trouble sleeping,Therapy feels too expensive;I'm already in therapy,Financial ,Less stress/anxiety ,Tired ,"Warm, non-judgmental energy;Offers practical tools;Easy to talk to",Flexible scheduling or online options;Ease of booking a consultation;Seeing that the therapist is also a mom,Instagram;Google / search engines;Friends or other moms,Instagram or social media;Asking a friend or another mom;Insurance provider list
2025/04/09 8:33:53 AM EST,41 - 45,School-age children,1,Mom guilt or perfectionism;Trouble sleeping,Not sure where to find someone I trust;I feel like I should be able to handle this,A therapist who's also a mom,Support and understanding ,Tired,"Warm, non-judgmental energy;Easy to talk to",Ease of booking a consultation,Friends or other moms,Insurance provider list
2025/04/09 10:01:41 AM EST,36 - 40,Toddler years (1-3 years);School-age children,3,Overwhelm or burnout;Loss of identity;Trouble sleeping,Childcare or schedule issues;I'm already in therapy,A therapist who's also a mom;Resources between sessions,"Sense of groundedness, strategies for managing overwhelm and frustration ",Scrambled,"Warm, non-judgmental energy;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Ease of booking a consultation;Seeing that the therapist is also a mom,Friends or other moms;Books,Asking a friend or another mom;Asking my OB/GYN or pediatrician
2025/04/09 10:03:37 AM EST,25 - 30,Toddler years (1-3 years),1,Overwhelm or burnout;Mom guilt or perfectionism,Not enough time;Therapy feels too expensive,Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom;Resources between sessions,Space to process and express feelings. ,Striving,"Warm, non-judgmental energy;Easy to talk to",Ease of booking a consultation;Seeing that the therapist is also a mom,Instagram;Friends or other moms;Therapy or support groups;Books,Asking a friend or another mom;Asking my OB/GYN or pediatrician;Local Facebook groups or mom groups
2025/04/09 10:58:33 AM EST,41 - 45,School-age children,2,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism;Relationship/partner stress;Loss of identity;Loneliness or isolation,Not enough time;Not sure where to find someone I trust;It seems like a hard process to find someone who understands me and isn't judgmental. ,Virtual sessions;In-Person sessons;A therapist who's also a mom,To be in a good mood and be a better person/ mom,jaded ,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Photos or videos that feel genuine;Flexible scheduling or online options;Testimonials or client stories;Ease of booking a consultation,Instagram;Podcasts;Books,Google / search engine;Insurance provider list
2025/04/09 11:40:28 AM EST,36 - 40,Toddler years (1-3 years),2,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism;Loss of identity;Trouble sleeping,Not enough time;Not sure where to find someone I trust;Therapy feels too expensive,Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom;Resources between sessions,Off load some of this self inflicted burden ,Overwhelmed ,"Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Understands high-functioning anxiety;Easy to talk to",Clear information about postpartum or maternal mental health;Flexible scheduling or online options;Ease of booking a consultation;Seeing that the therapist is also a mom,Instagram;Friends or other moms;Books,Insurance provider list
2025/04/09 1:33:47 PM EST,25 - 30,4-12 months postpartum,1,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism;Loss of identity;Trouble sleeping,I'm already in therapy,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom;Resources between sessions,"My goal with every therapy session is to just talk it out. I am a verbal processor so getting the things physically out of my body by talking about them always makes me feel better. I've been in therapy for 4 years now? And every session is different. Honestly. Some sessions I talk about motherhood, some sessions. I talk about my history of abuse, some sessions. I talk about my relationship with my family like my mom or my sisters. But for me, talking with my therapist helps give me perspective on things that I'm overthinking. Or helps me process things. I'm thinking by asking follow-up questions. She's great!",Swamped,"Warm, non-judgmental energy;Understands high-functioning anxiety;Easy to talk to",Credentials or specialization in perinatal mental health;Photos or videos that feel genuine;Testimonials or client stories;Ease of booking a consultation,TikTok;Podcasts;My OB/GYN or pediatrician;Therapy or support groups;Books,Google / search engine;Inclusivetherapists.com
2025/04/09 2:31:18 PM EST,25 - 30,4-12 months postpartum,1,Anxiety or racing thoughts;Mom guilt or perfectionism,Therapy feels too expensive;I'm already in therapy,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom;Resources between sessions,A decrease in anxiety about my child’s and my own wellbeing,Anxious,"Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Understands high-functioning anxiety;Offers practical tools",Clear information about postpartum or maternal mental health;Credentials or specialization in perinatal mental health;Seeing that the therapist is also a mom,Instagram;Google / search engines;Friends or other moms;Therapy or support groups;Books,Asking a friend or another mom
2025/04/09 7:06:08 PM EST,41 - 45,School-age children,2,Overwhelm or burnout;Trouble sleeping,Not enough time;Therapy feels too expensive;Childcare or schedule issues,Flexible scheduling (evenings/lunchtimes/weekends);Resources between sessions,The best of myself ,Overwhelming ,"Warm, non-judgmental energy;Offers practical tools;Easy to talk to",Credentials or specialization in perinatal mental health;Photos or videos that feel genuine;Flexible scheduling or online options;Ease of booking a consultation;Being able to browse their social media to get a feel for their style/personality,Podcasts;Google / search engines;Friends or other moms,Instagram or social media
2025/04/09 7:08:13 PM EST,41 - 45,School-age children,4+,Overwhelm or burnout;Mom guilt or perfectionism;Trouble sleeping,Not enough time;Not sure where to find someone I trust;Therapy feels too expensive;I feel like I should be able to handle this,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends),Insight on how to navigate daily demands and self care. ,Burnout,Understands high-functioning anxiety;Offers practical tools;Easy to talk to,Credentials or specialization in perinatal mental health;Flexible scheduling or online options;Ease of booking a consultation,Podcasts;Therapy or support groups;Books,Asking a friend or another mom;Local Facebook groups or mom groups;Insurance provider list
2025/04/09 7:15:42 PM EST,25 - 30,School-age children,1,Mom guilt or perfectionism;Relationship/partner stress;Loneliness or isolation,Therapy feels too expensive;I feel like I should be able to handle this,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,"Ease of mind, further pulling out any toxic traits or behaviors from my past. ","Lately I have been great actually, just a little lonely at times but I’m learning to be ok with that!","Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Understands high-functioning anxiety;Offers practical tools;Easy to talk to;",Credentials or specialization in perinatal mental health;Photos or videos that feel genuine;Flexible scheduling or online options;Testimonials or client stories;Ease of booking a consultation;Seeing that the therapist is also a mom;Being able to browse their social media to get a feel for their style/personality,TikTok;Google / search engines;Friends or other moms,Google / search engine
2025/04/09 8:22:05 PM EST,36 - 40,School-age children,2,Overwhelm or burnout;Mom guilt or perfectionism,Not enough time;Therapy feels too expensive;I feel like I should be able to handle this;Childcare or schedule issues,A therapist who's also a mom;Resources between sessions,"Learning to give myself more grace, learning to better regulate my emotions and be less swayed by my kids’ emotions",Dysregulated,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Ease of booking a consultation;Seeing that the therapist is also a mom,Instagram;Books,Google / search engine;Asking a friend or another mom;Local Facebook groups or mom groups
2025/04/09 8:31:00 PM EST,31 - 35,Toddler years (1-3 years),1,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism;Relationship/partner stress;Loneliness or isolation,I feel like I should be able to handle this;I'm already in therapy,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,An action plan,Overwhelmed,"Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Flexible scheduling or online options;Ease of booking a consultation;Seeing that the therapist is also a mom,TikTok;Friends or other moms;Therapy or support groups,Google / search engine;Asking a friend or another mom;Insurance provider list
2025/04/09 10:45:41 PM EST,31 - 35,Pregnant;Toddler years (1-3 years);School-age children,2,Mom guilt or perfectionism;Relationship/partner stress;Loss of identity;Loneliness or isolation;Trouble sleeping,Not enough time;Therapy feels too expensive;I feel like I should be able to handle this;Childcare or schedule issues,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,Reassurance and guidance,Tired,"Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Credentials or specialization in perinatal mental health;Photos or videos that feel genuine;Flexible scheduling or online options;Testimonials or client stories;Ease of booking a consultation,TikTok;Instagram;Podcasts;Google / search engines;Friends or other moms;My OB/GYN or pediatrician,Google / search engine;Insurance provider list
2025/04/10 7:58:30 AM EST,46+,School-age children,1,Overwhelm or burnout;Mom guilt or perfectionism;Loneliness or isolation,I feel like I should be able to handle this;Childcare or schedule issues;I'm already in therapy,All of the above are super helpful!! ,"I just want to vent my stress to someone else who can give me constructive feedback about myself and offer solutions . I live my therapist right now, but always open to other sources. ",Inadequate ,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Photos or videos that feel genuine;Flexible scheduling or online options;Ease of booking a consultation;Seeing that the therapist is also a mom,Google / search engines;Friends or other moms;Therapy or support groups,Google / search engine;Asking a friend or another mom;Local Facebook groups or mom groups;Insurance provider list;My workplace offers a platform called Better Help. They gave me ten free sessions to use a therapist there. All I did was type in what I needed & I was matched with someone. She was perfect for me. She has now moved on to Grow Therapy. 
2025/04/10 8:06:07 AM EST,41 - 45,School-age children,2,Overwhelm or burnout;Relationship/partner stress;Loss of identity;Loneliness or isolation;Trouble sleeping,Not enough time;Not sure where to find someone I trust;Therapy feels too expensive,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,Empathy and not a “suck it up” attitude ,Overwhelmed. It never ends. ,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Credentials or specialization in perinatal mental health;Photos or videos that feel genuine;Flexible scheduling or online options;Ease of booking a consultation;Pricing. Why is it a secret?,Podcasts;Books,Google / search engine;Asking a friend or another mom;Insurance provider list
2025/04/10 8:58:37 AM EST,36 - 40,School-age children,1,Anxiety or racing thoughts;Mom guilt or perfectionism;Relationship/partner stress,Not sure where to find someone I trust;I'm already in therapy,Virtual sessions;A therapist who's also a mom,Help with conversations about potential separation of parents! How do I explain this to a 6 year old!? ,Stuck! ,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Flexible scheduling or online options;Testimonials or client stories;Ease of booking a consultation;Seeing that the therapist is also a mom;Being able to browse their social media to get a feel for their style/personality,Podcasts;Friends or other moms,Asking a friend or another mom;Insurance provider list
2025/04/10 9:05:03 AM EST,31 - 35,Pregnant;Toddler years (1-3 years),1,Overwhelm or burnout,Not enough time,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,How to balance motherhood and mom guilt and burnout ,Tired,"Warm, non-judgmental energy;Offers practical tools",Flexible scheduling or online options,Instagram,Asking a friend or another mom
2025/04/10 9:12:43 AM EST,36 - 40,Newborn phase (0-3 months);School-age children,2,Overwhelm or burnout;Mom guilt or perfectionism;Loneliness or isolation,I'm already in therapy,Flexible scheduling (evenings/lunchtimes/weekends),"Talking through issues , a different perspective ",Overwhelmed ,"Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Credentials or specialization in perinatal mental health;Flexible scheduling or online options;Ease of booking a consultation,TikTok;Instagram;My OB/GYN or pediatrician;Books,Google / search engine;Asking a friend or another mom
2025/04/10 9:43:03 AM EST,31 - 35,4-12 months postpartum;School-age children,2,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism,Not sure where to find someone I trust;Therapy feels too expensive,A therapist who's also a mom;Insurance coverage and help to navigate getting it covered ,Safe place to feel understood and validated. Some strategies for coping And words of encouragement. Someone to listen. ,Overwhelmed,"Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Credentials or specialization in perinatal mental health;Flexible scheduling or online options;Ease of booking a consultation,Friends or other moms;My OB/GYN or pediatrician,Asking a friend or another mom;Asking my OB/GYN or pediatrician
2025/04/10 10:39:59 AM EST,36 - 40,School-age children,1,Loneliness or isolation,Therapy feels too expensive,In-Person sessons;Flexible scheduling (evenings/lunchtimes/weekends),Recreation area,Curious,"Warm, non-judgmental energy;Understands high-functioning anxiety",Flexible scheduling or online options;Ease of booking a consultation;Seeing that the therapist is also a mom,Podcasts;Friends or other moms;Therapy or support groups,Google / search engine
2025/04/10 11:43:09 AM EST,36 - 40,School-age children,2,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism;Relationship/partner stress,Not enough time;Lack of partner support;Not sure where to find someone I trust;Therapy feels too expensive;Childcare or schedule issues,Virtual sessions;A therapist who's also a mom,Feeling better overall ,"Stressed, sad, overwhelmed ","Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Flexible scheduling or online options;Ease of booking a consultation;Seeing that the therapist is also a mom;Being able to browse their social media to get a feel for their style/personality,TikTok;Instagram;Podcasts;Google / search engines;Friends or other moms;Therapy or support groups,Google / search engine;Instagram or social media;Asking a friend or another mom;Local Facebook groups or mom groups;Insurance provider list
2025/04/10 2:15:01 PM EST,36 - 40,Toddler years (1-3 years);School-age children,3,Anxiety or racing thoughts,Therapy feels too expensive;Childcare or schedule issues,In-Person sessons;Flexible scheduling (evenings/lunchtimes/weekends);A therapist who's also a mom,Work through some past issues from my childhood ,Excited,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Personal referral,Instagram;Blogs or newsletters;Friends or other moms,Asking a friend or another mom
2025/04/10 2:18:00 PM EST,36 - 40,Newborn phase (0-3 months);Toddler years (1-3 years),2,Overwhelm or burnout;Mom guilt or perfectionism;Loneliness or isolation,Not sure where to find someone I trust;I feel like I should be able to handle this,Virtual sessions;Resources between sessions,"Validation that it’s ok to feel overwhelmed; understanding, a place to vent without feeling guilty. Id feel guilty venting to my husband because he’s overwhelmed too and I don’t want to put pressure on him. I have friends who are having issues conceiving and I’d feel guilty venting to them ",Behind,"Warm, non-judgmental energy;Postpartum or maternal mental health specialist;Understands high-functioning anxiety;Offers practical tools;Easy to talk to",Clear information about postpartum or maternal mental health;Credentials or specialization in perinatal mental health;Flexible scheduling or online options;Ease of booking a consultation,TikTok;Instagram;Podcasts;Books,Insurance provider list;I don't know where I would start
2025/04/10 2:54:17 PM EST,31 - 35,School-age children,3,Overwhelm or burnout;Anxiety or racing thoughts;Mom guilt or perfectionism;Relationship/partner stress,Not sure where to find someone I trust;Therapy feels too expensive,Virtual sessions;A therapist who's also a mom,Advice and strategies ,Busy,"Warm, non-judgmental energy;Understands high-functioning anxiety",Flexible scheduling or online options;Ease of booking a consultation;Seeing that the therapist is also a mom;Being able to browse their social media to get a feel for their style/personality,Podcasts;Blogs or newsletters;Google / search engines,Google / search engine;Insurance provider list
2025/04/11 7:05:23 AM EST,36 - 40,Toddler years (1-3 years);School-age children,3,Overwhelm or burnout;Mom guilt or perfectionism;Relationship/partner stress;Loss of identity;Trouble sleeping,Not enough time;I feel like I should be able to handle this;Childcare or schedule issues,Virtual sessions;Flexible scheduling (evenings/lunchtimes/weekends),"Empathy, encouragement, advice on how to recapture myself, tools to use when I'm feeling overwhelmed or anxious ",Overwhelmed ,"Warm, non-judgmental energy;Understands high-functioning anxiety;Offers practical tools;Easy to talk to;Someone that feels like a girlfriend ",Flexible scheduling or online options;Ease of booking a consultation;Being able to browse their social media to get a feel for their style/personality,Instagram;Friends or other moms;Therapy or support groups;Books,Google / search engine;Psychology Today or other directories;Insurance provider list
2025/04/11 4:57:39 PM EST,36 - 40,School-age children,3,Overwhelm or burnout;Mom guilt or perfectionism,Therapy feels too expensive,Flexible scheduling (evenings/lunchtimes/weekends),Researched strategies ,Overwhelmed,Offers practical tools;Easy to talk to,Flexible scheduling or online options;Ease of booking a consultation;Being able to browse their social media to get a feel for their style/personality,Instagram;Google / search engines,Google / search engine;Insurance provider list
2025/04/14 9:21:41 AM EST,41 - 45,Toddler years (1-3 years);School-age children,2,Overwhelm or burnout;Mom guilt or perfectionism;Relationship/partner stress;Loss of identity;Loneliness or isolation;Trouble sleeping,Not enough time;Not sure where to find someone I trust;Therapy feels too expensive;I feel like I should be able to handle this,Resources between sessions,Coping skills,Angry ,"Warm, non-judgmental energy;Offers practical tools",Testimonials or client stories,Instagram;Blogs or newsletters;Google / search engines;Friends or other moms,Google / search engine;Local Facebook groups or mom groups;Insurance provider list
